"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"CANCER TREATMENT REVIEWS","CANCER TREAT REV","ELSEVIER SCI LTD","0305-7372","1532-1967","ONCOLOGY","SCIE","12,791","10.5","Q1","1.37","30.07"%,
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","AMER ASSOC CANCER RESEARCH","1078-0432","1557-3265","ONCOLOGY","SCIE","92,896","10.2","Q1","2.37","30.29"%,
"CANCER LETTERS","CANCER LETT","ELSEVIER IRELAND LTD","0304-3835","1872-7980","ONCOLOGY","SCIE","42,657","10.1","Q1","2.25","24.55"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","SPRINGERNATURE","1359-4184","1476-5578","NEUROSCIENCES","SCIE","38,513","10.1","Q1","2.21","54.73"%,
"Journal of Neuroinflammation","J NEUROINFLAMM","BMC","N/A","1742-2094","NEUROSCIENCES","SCIE","30,624","10.1","Q1","2.17","100"%,
"SLEEP MEDICINE REVIEWS","SLEEP MED REV","W B SAUNDERS CO LTD","1087-0792","1532-2955","CLINICAL NEUROLOGY","SCIE","14,632","9.7","Q1","1.91","33.07"%,
"SLEEP MEDICINE REVIEWS","SLEEP MED REV","W B SAUNDERS CO LTD","1087-0792","1532-2955","NEUROSCIENCES","SCIE","14,632","9.7","Q1","1.91","33.07"%,
"GENOME BIOLOGY","GENOME BIOL","BMC","1474-760X","1474-760X","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","72,492","9.4","Q1","2.51","100"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","CLINICAL NEUROLOGY","SCIE","25,415","9.3","Q1","3.12","74.79"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","NEUROSCIENCES","SCIE","25,415","9.3","Q1","3.12","74.79"%,
"European Urology Oncology","EUR UROL ONCOL","ELSEVIER","N/A","2588-9311","ONCOLOGY","SCIE","4,058","9.3","Q1","2.44","29.39"%,
"npj Biofilms and Microbiomes","NPJ BIOFILMS MICROBI","NATURE PORTFOLIO","N/A","2055-5008","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","4,862","9.2","Q1","2.16","100"%,
"Liver Cancer","LIVER CANCER","KARGER","2235-1795","1664-5553","ONCOLOGY","SCIE","3,280","9.1","Q1","2.08","100"%,
"NEUROLOGY","NEUROLOGY","LIPPINCOTT WILLIAMS & WILKINS","0028-3878","1526-632X","CLINICAL NEUROLOGY","SCIE","97,729","9","Q1","2.63","17.83"%,
"Biological Psychiatry","BIOL PSYCHIAT","ELSEVIER SCIENCE INC","0006-3223","1873-2402","NEUROSCIENCES","SCIE","40,180","9","Q1","2.33","25"%,
"BIORESOURCE TECHNOLOGY","BIORESOURCE TECHNOL","ELSEVIER SCI LTD","0960-8524","1873-2976","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","173,041","9","Q1","1.67","7.92"%,
"STROKE","STROKE","LIPPINCOTT WILLIAMS & WILKINS","0039-2499","1524-4628","CLINICAL NEUROLOGY","SCIE","74,636","8.9","Q1","2.29","11.3"%,
"Dialogues in Clinical Neuroscience","DIALOGUES CLIN NEURO","TAYLOR & FRANCIS LTD","1294-8322","1958-5969","NEUROSCIENCES","SCIE","6,692","8.9","Q1","1.08","100"%,
"Annual Review of Animal Biosciences","ANNU REV ANIM BIOSCI","ANNUAL REVIEWS","2165-8102","2165-8110","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","2,445","8.7","Q1","3.53","57.14"%,
"International Journal of Stroke","INT J STROKE","SAGE PUBLICATIONS LTD","1747-4930","1747-4949","CLINICAL NEUROLOGY","SCIE","8,376","8.7","Q1","1.64","25.68"%,
"CANCER AND METASTASIS REVIEWS","CANCER METAST REV","SPRINGER","0167-7659","1573-7233","ONCOLOGY","SCIE","8,047","8.7","Q1","1.18","44.97"%,
"Journal of Stroke","J STROKE","KOREAN STROKE SOC","2287-6391","2287-6405","CLINICAL NEUROLOGY","SCIE","2,556","8.6","Q1","1.8","100"%,
"Neurology-Neuroimmunology & Neuroinflammation","NEUROL-NEUROIMMUNOL","LIPPINCOTT WILLIAMS & WILKINS","2332-7812","2332-7812","CLINICAL NEUROLOGY","SCIE","6,102","8.4","Q1","2.43","98.75"%,
"Neurology-Neuroimmunology & Neuroinflammation","NEUROL-NEUROIMMUNOL","LIPPINCOTT WILLIAMS & WILKINS","2332-7812","2332-7812","NEUROSCIENCES","SCIE","6,102","8.4","Q1","2.43","98.75"%,
"Brain Stimulation","BRAIN STIMUL","ELSEVIER SCIENCE INC","1935-861X","1876-4754","CLINICAL NEUROLOGY","SCIE","11,760","8.4","Q1","1.87","95.87"%,
"Brain Stimulation","BRAIN STIMUL","ELSEVIER SCIENCE INC","1935-861X","1876-4754","NEUROSCIENCES","SCIE","11,760","8.4","Q1","1.87","95.87"%,
"Cancer Biology & Medicine","CANCER BIOL MED","CHINA ANTI-CANCER ASSOC","2095-3941","2095-3941","ONCOLOGY","SCIE","3,725","8.4","Q1","0.98","100"%,
"ESMO Open","ESMO OPEN","ELSEVIER","N/A","2059-7029","ONCOLOGY","SCIE","7,627","8.3","Q1","1.52","97.59"%,
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","ELSEVIER","0304-419X","1879-2561","ONCOLOGY","SCIE","11,462","8.3","Q1","1.29","19.96"%,
"npj Parkinsons Disease","NPJ PARKINSONS DIS","NATURE PORTFOLIO","N/A","2373-8057","NEUROSCIENCES","SCIE","5,293","8.2","Q1","2.02","100"%,
"Cancer Immunology Research","CANCER IMMUNOL RES","AMER ASSOC CANCER RESEARCH","2326-6066","2326-6074","ONCOLOGY","SCIE","12,853","8.2","Q1","1.82","25.75"%,
"npj Precision Oncology","NPJ PRECIS ONCOL","NATURE PORTFOLIO","N/A","2397-768X","ONCOLOGY","SCIE","4,183","8","Q1","1.69","100"%,
"JOURNAL OF HEADACHE AND PAIN","J HEADACHE PAIN","BMC","1129-2369","1129-2377","CLINICAL NEUROLOGY","SCIE","9,027","7.9","Q1","1.97","100"%,
"JOURNAL OF HEADACHE AND PAIN","J HEADACHE PAIN","BMC","1129-2369","1129-2377","NEUROSCIENCES","SCIE","9,027","7.9","Q1","1.97","100"%,
"BREAST","BREAST","CHURCHILL LIVINGSTONE","0960-9776","1532-3080","ONCOLOGY","SCIE","8,178","7.9","Q1","1.82","99.28"%,
"NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","NEUROSCI BIOBEHAV R","PERGAMON-ELSEVIER SCIENCE LTD","0149-7634","1873-7528","NEUROSCIENCES","SCIE","45,104","7.9","Q1","1.73","43.93"%,
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","J NEUROL NEUROSUR PS","BMJ PUBLISHING GROUP","0022-3050","1468-330X","CLINICAL NEUROLOGY","SCIE","32,555","7.8","Q1","2.59","35.96"%,
"JPAD-Journal of Prevention of Alzheimers Disease","JPAD-J PREV ALZHEIM","ELSEVIER","2274-5807","2426-0266","CLINICAL NEUROLOGY","SCIE","3,106","7.8","Q1","2.09","94.85"%,
"ANNALS OF NEUROLOGY","ANN NEUROL","WILEY","0364-5134","1531-8249","CLINICAL NEUROLOGY","SCIE","36,289","7.7","Q1","2.44","40.87"%,
"ANNALS OF NEUROLOGY","ANN NEUROL","WILEY","0364-5134","1531-8249","NEUROSCIENCES","SCIE","36,289","7.7","Q1","2.44","40.87"%,
"NEOPLASIA","NEOPLASIA","ELSEVIER SCIENCE INC","1476-5586","1476-5586","ONCOLOGY","SCIE","8,043","7.7","Q1","1.47","99.04"%,
"CRITICAL REVIEWS IN BIOTECHNOLOGY","CRIT REV BIOTECHNOL","TAYLOR & FRANCIS LTD","0738-8551","1549-7801","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","8,542","7.7","Q1","0.95","6.31"%,
"Alzheimers Research & Therapy","ALZHEIMERS RES THER","BMC","N/A","1758-9193","CLINICAL NEUROLOGY","SCIE","11,801","7.6","Q1","2.23","100"%,
"Alzheimers Research & Therapy","ALZHEIMERS RES THER","BMC","N/A","1758-9193","NEUROSCIENCES","SCIE","11,801","7.6","Q1","2.23","100"%,
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","ACADEMIC PRESS INC ELSEVIER SCIENCE","0889-1591","1090-2139","NEUROSCIENCES","SCIE","27,294","7.6","Q1","2.03","42.24"%,
"MOVEMENT DISORDERS","MOVEMENT DISORD","WILEY","0885-3185","1531-8257","CLINICAL NEUROLOGY","SCIE","33,392","7.6","Q1","1.99","52.86"%,
"npj Breast Cancer","NPJ BREAST CANCER","NATURE PORTFOLIO","N/A","2374-4677","ONCOLOGY","SCIE","4,193","7.6","Q1","1.5","100"%,
"CNS DRUGS","CNS DRUGS","ADIS INT LTD","1172-7047","1179-1934","CLINICAL NEUROLOGY","SCIE","6,972","7.4","Q1","1.58","52.44"%,
"ONCOGENE","ONCOGENE","SPRINGERNATURE","0950-9232","1476-5594","ONCOLOGY","SCIE","60,082","7.3","Q1","1.5","38.62"%,
"JNCI-Journal of the National Cancer Institute","JNCI-J NATL CANCER I","OXFORD UNIV PRESS INC","0027-8874","1460-2105","ONCOLOGY","SCIE","33,241","7.2","Q1","1.92","25.95"%,
"NEUROPSYCHOPHARMACOLOGY","NEUROPSYCHOPHARMACOL","SPRINGERNATURE","0893-133X","1740-634X","NEUROSCIENCES","SCIE","29,247","7.1","Q1","1.73","41.78"%,
"EUROPEAN JOURNAL OF CANCER","EUR J CANCER","ELSEVIER SCI LTD","0959-8049","1879-0852","ONCOLOGY","SCIE","38,289","7.1","Q1","1.59","34.62"%,
"Environmental Technology & Innovation","ENVIRON TECHNOL INNO","ELSEVIER","2352-1864","2352-1864","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","19,172","7.1","Q1","1.25","100"%,
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","ELSEVIER SCI LTD","0958-1669","1879-0429","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","18,641","7","Q1","0.95","32.93"%,
"Neurotherapeutics","NEUROTHERAPEUTICS","ELSEVIER SCIENCE INC","1933-7213","1878-7479","CLINICAL NEUROLOGY","SCIE","9,858","6.9","Q1","1.49","60"%,
"Neurotherapeutics","NEUROTHERAPEUTICS","ELSEVIER SCIENCE INC","1933-7213","1878-7479","NEUROSCIENCES","SCIE","9,858","6.9","Q1","1.49","60"%,
"BIODRUGS","BIODRUGS","ADIS INT LTD","1173-8804","1179-190X","ONCOLOGY","SCIE","3,460","6.9","Q1","1.16","48.84"%,
"METABOLIC ENGINEERING","METAB ENG","ACADEMIC PRESS INC ELSEVIER SCIENCE","1096-7176","1096-7184","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","11,265","6.8","Q1","1.74","32.45"%,
"Clinical and Translational Medicine","CLIN TRANSL MED","JOHN WILEY & SONS LTD","2001-1326","2001-1326","ONCOLOGY","SCIE","9,628","6.8","Q1","1.56","98.5"%,
"Current Opinion in Chemical Engineering","CURR OPIN CHEM ENG","ELSEVIER SCI LTD","2211-3398","2211-3398","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","5,022","6.8","Q1","1.53","23.53"%,
"BRITISH JOURNAL OF CANCER","BRIT J CANCER","SPRINGERNATURE","0007-0920","1532-1827","ONCOLOGY","SCIE","49,627","6.8","Q1","1.4","56.51"%,
"EUROPEAN NEUROPSYCHOPHARMACOLOGY","EUR NEUROPSYCHOPHARM","ELSEVIER","0924-977X","1873-7862","CLINICAL NEUROLOGY","SCIE","8,698","6.7","Q1","1.41","46.8"%,
"EUROPEAN NEUROPSYCHOPHARMACOLOGY","EUR NEUROPSYCHOPHARM","ELSEVIER","0924-977X","1873-7862","NEUROSCIENCES","SCIE","8,698","6.7","Q1","1.41","46.8"%,
"Neural Regeneration Research","NEURAL REGEN RES","WOLTERS KLUWER MEDKNOW PUBLICATIONS","1673-5374","1876-7958","NEUROSCIENCES","SCIE","14,476","6.7","Q1","1.13","98.91"%,
"FRONTIERS IN NEUROENDOCRINOLOGY","FRONT NEUROENDOCRIN","ACADEMIC PRESS INC ELSEVIER SCIENCE","0091-3022","1095-6808","NEUROSCIENCES","SCIE","5,522","6.7","Q1","0.97","39.13"%,
"EPILEPSIA","EPILEPSIA","WILEY","0013-9580","1528-1167","CLINICAL NEUROLOGY","SCIE","31,692","6.6","Q1","1.89","41.58"%,
"INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS","INT J RADIAT ONCOL","ELSEVIER SCIENCE INC","0360-3016","1879-355X","ONCOLOGY","SCIE","42,372","6.5","Q1","1.58","15.36"%,
"Journal of Biological Engineering","J BIOL ENG","BMC","1754-1611","1754-1611","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","2,639","6.5","Q1","1.14","100"%,
"Oncogenesis","ONCOGENESIS","SPRINGERNATURE","2157-9024","2157-9024","ONCOLOGY","SCIE","4,427","6.4","Q1","1.29","100"%,
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","WILEY","0742-3098","1600-079X","NEUROSCIENCES","SCIE","10,458","6.3","Q1","2.14","29.57"%,
"NEURAL NETWORKS","NEURAL NETWORKS","PERGAMON-ELSEVIER SCIENCE LTD","0893-6080","1879-2782","NEUROSCIENCES","SCIE","29,552","6.3","Q1","1.45","12.95"%,
"OncoImmunology","ONCOIMMUNOLOGY","TAYLOR & FRANCIS INC","2162-402X","2162-402X","ONCOLOGY","SCIE","15,331","6.3","Q1","1.36","99.75"%,
"Chinese Journal of Cancer Research","CHINESE J CANCER RES","CHINESE JOURNAL CANCER RESEARCH CO","1000-9604","1993-0631","ONCOLOGY","SCIE","2,673","6.3","Q1","0.96","100"%,
"Epilepsy Currents","EPILEPSY CURR","SAGE PUBLICATIONS INC","1535-7597","1535-7511","CLINICAL NEUROLOGY","SCIE","1,237","6.3","Q1","0.75","97.73"%,
"BRAIN PATHOLOGY","BRAIN PATHOL","WILEY","1015-6305","1750-3639","CLINICAL NEUROLOGY","SCIE","6,463","6.2","Q1","1.66","98.88"%,
"BRAIN PATHOLOGY","BRAIN PATHOL","WILEY","1015-6305","1750-3639","NEUROSCIENCES","SCIE","6,463","6.2","Q1","1.66","98.88"%,
"Fluids and Barriers of the CNS","FLUIDS BARRIERS CNS","BMC","2045-8118","2045-8118","NEUROSCIENCES","SCIE","4,135","6.2","Q1","1.51","100"%,
"PSYCHIATRY AND CLINICAL NEUROSCIENCES","PSYCHIAT CLIN NEUROS","WILEY","1323-1316","1440-1819","CLINICAL NEUROLOGY","SCIE","5,525","6.2","Q1","1.18","40.1"%,
"PSYCHIATRY AND CLINICAL NEUROSCIENCES","PSYCHIAT CLIN NEUROS","WILEY","1323-1316","1440-1819","NEUROSCIENCES","SCIE","5,525","6.2","Q1","1.18","40.1"%,
"PROGRESS IN NEUROBIOLOGY","PROG NEUROBIOL","PERGAMON-ELSEVIER SCIENCE LTD","0301-0082","1873-5118","NEUROSCIENCES","SCIE","13,880","6.1","Q1","1.24","47.28"%,
"Annual Review of Cancer Biology","ANNU REV CANCER BIOL","ANNUAL REVIEWS","2472-3428","2472-3428","ONCOLOGY","SCIE","1,041","6.1","Q1","0.97","93.1"%,
"Cancer Cell International","CANCER CELL INT","BMC","N/A","1475-2867","ONCOLOGY","SCIE","15,529","6","Q1","1.08","99.91"%,
"PROSTATE CANCER AND PROSTATIC DISEASES","PROSTATE CANCER P D","SPRINGERNATURE","1365-7852","1476-5608","ONCOLOGY","SCIE","4,813","5.8","Q1","1.36","28.86"%,
"JCO Precision Oncology","JCO PRECIS ONCOL","LIPPINCOTT WILLIAMS & WILKINS","N/A","2473-4284","ONCOLOGY","SCIE","6,054","5.8","Q1","1.11","23.05"%,
"BIOMASS & BIOENERGY","BIOMASS BIOENERG","PERGAMON-ELSEVIER SCIENCE LTD","0961-9534","1873-2909","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","22,201","5.8","Q1","1.07","19.44"%,
"Neuroscience Bulletin","NEUROSCI BULL","SPRINGER","1673-7067","1995-8218","NEUROSCIENCES","SCIE","5,412","5.8","Q1","1.04","32.32"%,
"Acta Neuropathologica Communications","ACTA NEUROPATHOL COM","BMC","2051-5960","2051-5960","NEUROSCIENCES","SCIE","10,245","5.7","Q1","1.65","100"%,
"NEUROBIOLOGY OF DISEASE","NEUROBIOL DIS","ACADEMIC PRESS INC ELSEVIER SCIENCE","0969-9961","1095-953X","NEUROSCIENCES","SCIE","21,317","5.6","Q1","1.4","99.58"%,
"BREAST CANCER RESEARCH","BREAST CANCER RES","BMC","1465-5411","1465-542X","ONCOLOGY","SCIE","12,611","5.6","Q1","1.3","100"%,
"CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY","CRIT REV ONCOL HEMAT","ELSEVIER SCIENCE INC","1040-8428","1879-0461","ONCOLOGY","SCIE","12,056","5.6","Q1","0.82","30.1"%,
"PAIN","PAIN","LIPPINCOTT WILLIAMS & WILKINS","0304-3959","1872-6623","CLINICAL NEUROLOGY","SCIE","41,266","5.5","Q1","1.93","25.52"%,
"PAIN","PAIN","LIPPINCOTT WILLIAMS & WILKINS","0304-3959","1872-6623","NEUROSCIENCES","SCIE","41,266","5.5","Q1","1.93","25.52"%,
"Molecular Autism","MOL AUTISM","BMC","2040-2392","2040-2392","NEUROSCIENCES","SCIE","4,248","5.5","Q1","1.56","100"%,
